syllable,sequence,group
ROC,NO CIE MI,3
E',NO CIE MI,3
SPOR,NO CIE MI,3
PA,NO CIE MI,3
E',NO CIE MI,3
SA,NO CIE MI,3
TA,NO CIE MI,3
VEC,NO CIE MI,3
SA,NO CIE MI,3
RIS,NO CIE MI,3
LA',NO CIE MI,3
IL,NO CIE MI,3
LA,NO CIE MI,3
BAS,NO CIE MI,3
DO,NO CIE MI,3
CO,NO CIE MI,3
CIE,NO CIE MI,3
LA,NO CIE MI,3
DO,NO CIE MI,3
CIO',NO CIE MI,3
LO',NO CIE MI,3
LA',NO CIE MI,3
BIA,NO CIE MI,3
E',NO CIE MI,3
SA,NO CIE MI,3
TAS,NO CIE MI,3
CA,NO CIE MI,3
E',NO CIE MI,3
LA,NO CIE MI,3
AL,NO CIE MI,3
CAL,NO CIE MI,3
VI,NO CIE MI,3
E',NO CIE MI,3
LA,NO CIE MI,3
TAL,NO CIE MI,3
FA,NO CIE MI,3
LA,NO CIE MI,3
LE,NO CIE MI,3
TAS,NO CIE MI,3
TO,NO CIE MI,3
LA,NO CIE MI,3
STO,NO CIE MI,3
TON,NO CIE MI,3
RIT,NO CIE MI,3
E',NO CIE MI,3
TI,PE BA LO,4
PEN,PE BA LO,4
NIE,PE BA LO,4
UN,PE BA LO,4
DO,PE BA LO,4
SE,PE BA LO,4
AN,PE BA LO,4
VA,PE BA LO,4
LA,PE BA LO,4
GI,PE BA LO,4
SCOR,PE BA LO,4
RE,PE BA LO,4
TA,PE BA LO,4
CIA,PE BA LO,4
LA,PE BA LO,4
STA,PE BA LO,4
PE,PE BA LO,4
BA,PE BA LO,4
LO,PE BA LO,4
GURT,PE BA LO,4
BI,PE BA LO,4
RA,PE BA LO,4
PIAN,PE BA LO,4
U,PE BA LO,4
FU,PE BA LO,4
SBOC,PE BA LO,4
IL,PE BA LO,4
BRIL,PE BA LO,4
RO',PE BA LO,4
GUAR,PE BA LO,4
LA,PE BA LO,4
FIU,PE BA LO,4
MAN,PE BA LO,4
SO,PE BA LO,4
VA,PE BA LO,4
RI,PE BA LO,4
DE,PE BA LO,4
FIO,PE BA LO,4
LA,PE BA LO,4
NOT,PE BA LO,4
LA,PE BA LO,4
RA',PE BA LO,4
VA,PE BA LO,4
SE,PE BA LO,4
GE,PE BA LO,4
GAL,PE BA LO,4
TU,PE BA LO,4
FUG,PE BA LO,4
GNA,PE BA LO,4
CO,PE BA LO,4
YO,PE BA LO,4
CU,PE BA LO,4
VA,PE BA LO,4
RA,PE BA LO,4
VA,PE BA LO,4
SE,PE BA LO,4
CI,PE BA LO,4
MET,PE BA LO,4
DI,PE BA LO,4
LO,PE BA LO,4
RO',PE BA LO,4
LA,PE BA LO,4
TE,PE BA LO,4
VA,PE BA LO,4
LO,PE BA LO,4
BIM,PE BA LO,4
RE,PE BA LO,4
LA,PE BA LO,4
STEL,PE BA LO,4
ME,PE BA LO,4
IL,PE BA LO,4
CI,PE BA LO,4
